country_num,variety_num,year,price,ratings
1,2,2015,15.0,2
0,25,2015,14.0,2
2,11,2012,80.0,2
4,37,2015,17.0,2
1,2,2014,10.0,2
1,1,2014,22.0,2
4,37,2015,17.0,2
4,8,2013,17.0,2
2,11,2009,102.0,2
0,13,2013,33.0,2
2,11,2011,48.0,2
5,36,2015,9.0,2
0,19,2008,75.0,2
1,7,2009,12.0,2
0,6,2006,70.0,2
3,42,2010,14.0,2
3,158,2010,10.0,2
0,1,2010,70.0,4
0,1,2010,48.0,4
1,2,2005,72.0,4
0,1,2010,105.0,4
1,27,2002,101.0,4
0,4,2013,125.0,3
4,2,2015,46.0,3
0,4,2014,17.0,3
0,1,2013,85.0,3
1,5,2012,30.0,3
0,3,2012,34.0,3
1,5,2014,35.0,3
1,20,2014,22.0,3
0,17,2013,39.0,3
0,2,2014,35.0,3
0,2,2014,27.0,3
5,2,2013,66.0,3
2,50,2015,32.0,3
3,10,2011,20.0,3
0,6,2013,42.0,3
5,3,2013,22.0,3
0,12,2013,18.0,2
0,23,2013,22.0,2
1,20,2013,15.0,2
3,22,2013,12.0,2
2,16,2012,28.0,2
1,30,2013,30.0,2
1,20,2013,23.0,2
1,20,2013,12.0,2
0,6,2011,36.0,2
0,7,2013,20.0,2
0,19,2011,25.0,2
2,100,2015,24.0,3
1,98,2014,24.0,3
1,1,2012,33.0,3
1,2,2014,117.0,3
1,98,2014,16.0,3
0,2,2013,35.0,3
2,74,2015,25.0,3
0,19,2009,45.0,3
2,57,2015,30.0,3
0,1,2012,45.0,3
5,9,2014,25.0,3
0,1,2013,40.0,3
0,26,2014,42.0,3
0,6,2013,29.0,3
3,3,2007,50.0,3
3,3,2008,44.0,3
1,15,2007,25.0,3
0,19,2009,72.0,3
0,5,2008,58.0,3
5,24,2008,15.0,3
0,6,2007,70.0,3
0,6,2008,39.0,3
3,3,2007,48.0,3
0,60,2014,22.0,2
2,11,2013,50.0,2
0,41,2014,30.0,2
0,60,2015,18.0,2
4,5,2011,30.0,2
1,101,2013,23.0,2
0,9,2015,18.0,2
4,8,2012,20.0,2
0,1,2014,25.0,2
0,18,2015,20.0,2
2,11,2012,50.0,2
2,11,2012,50.0,2
4,18,2015,15.0,2
4,12,2015,12.0,2
0,336,2013,20.0,2
4,8,2011,175.0,2
0,13,2013,20.0,2
4,8,2014,15.0,2
1,5,2014,14.0,2
1,5,2014,15.0,2
1,5,2014,14.0,2
0,2,2013,40.0,2
0,38,2015,29.0,2
3,10,2013,15.0,2
0,5,2013,55.0,2
3,48,2014,15.0,2
3,22,2013,18.0,2
0,25,2015,27.0,2
0,2,2014,17.0,2
0,16,2013,65.0,2
0,43,2013,32.0,2
3,119,2015,16.0,2
0,1,2012,38.0,2
0,4,2014,15.0,2
2,11,2012,50.0,2
0,12,2015,24.0,2
3,9,2015,18.0,2
0,3,2006,30.0,2
1,12,2008,10.0,2
1,12,2007,10.0,2
4,4,2007,20.0,3
1,3,2006,14.0,3
1,12,2006,22.0,3
5,24,2006,18.0,3
0,1,2006,60.0,3
1,5,2003,26.0,3
1,34,2007,25.0,3
1,12,2006,21.0,3
0,1,2005,75.0,3
2,41,2007,45.0,3
0,15,2012,42.0,3
0,3,2010,48.0,3
2,41,2011,22.0,3
2,82,2013,22.0,3
1,23,2013,20.0,3
0,5,2011,125.0,3
4,8,2012,20.0,3
2,213,2013,27.0,3
1,18,2012,28.0,3
0,12,2012,42.0,3
0,26,2012,34.0,3
0,2,2012,60.0,3
3,10,2010,28.0,3
1,38,2010,10.0,3
2,41,2012,12.0,3
2,100,2010,28.0,3
0,6,2012,28.0,3
4,8,2012,15.0,2
3,3,2003,15.0,2
3,14,2007,25.0,2
3,22,2000,30.0,2
1,3,2007,25.0,2
0,13,2012,38.0,4
0,1,2014,100.0,4
0,1,2015,95.0,4
0,1,2015,62.0,4
2,11,2013,57.0,4
5,24,2013,100.0,4
0,2,2015,52.0,4
1,1,2014,112.0,4
2,11,2013,180.0,4
0,2,2015,35.0,4
0,2,2015,85.0,4
0,7,2016,32.0,4
0,7,2016,32.0,4
0,6,2014,120.0,4
1,19,2014,120.0,4
0,13,2014,38.0,4
0,7,2016,32.0,4
0,1,2015,58.0,4
0,6,2014,85.0,4
0,1,2014,75.0,4
0,1,2014,50.0,4
1,1,2015,60.0,4
0,1,2014,60.0,4
0,25,2012,15.0,3
0,47,2011,40.0,3
0,2,2012,45.0,3
1,6,2012,15.0,3
0,19,2010,35.0,3
0,13,2011,20.0,3
0,15,2010,38.0,3
2,3,2006,70.0,3
3,10,2011,60.0,3
3,21,2010,25.0,3
1,15,2010,17.0,3
0,12,2013,15.0,3
3,10,2008,27.0,3
0,13,2012,56.0,3
1,14,2011,32.0,3
1,21,2008,24.0,3
0,7,2014,16.0,2
0,18,2014,40.0,2
0,3,2014,20.0,2
0,1,2013,38.0,2
0,4,2011,65.0,2
2,77,2014,10.0,2
0,4,2012,100.0,2
0,2,2013,25.0,2
0,13,2011,28.0,2
1,5,2014,12.0,1
2,41,2013,14.0,1
0,3,2004,24.0,2
5,24,2004,19.0,2
0,5,2005,26.0,2
4,2,2007,17.0,2
4,17,2006,12.0,2
4,4,2014,19.0,3
2,11,2013,50.0,3
5,12,2014,13.0,3
2,11,2012,49.0,3
2,11,2012,50.0,3
1,2,2014,40.0,3
1,248,2015,10.0,3
4,8,2013,40.0,2
4,5,2011,20.0,2
2,11,2013,90.0,2
5,207,2015,25.0,2
5,36,2014,13.0,2
0,13,2014,14.0,2
2,11,2012,75.0,2
0,2,2014,35.0,2
2,11,2013,80.0,4
0,4,2014,52.0,4
0,5,2014,115.0,4
0,1,2015,60.0,4
0,12,2016,55.0,4
0,6,2013,60.0,4
2,50,2014,57.0,4
0,6,2013,75.0,4
0,1,2015,58.0,4
0,21,2013,65.0,4
0,2,2015,49.0,4
0,1,2015,32.0,4
0,1,2015,55.0,4
0,1,2015,65.0,4
0,3,2014,40.0,4
0,1,2015,42.0,4
0,3,2014,48.0,4
0,2,2015,36.0,4
1,5,2006,9.0,3
0,3,2005,50.0,3
0,3,2005,20.0,3
0,2,2007,10.0,3
3,10,2004,21.0,3
0,7,2010,16.0,2
0,29,2009,26.0,2
3,10,2010,8.0,2
3,10,2006,27.0,2
2,3,2013,19.0,3
2,55,2011,48.0,3
3,3,2013,30.0,3
1,33,2013,14.0,3
2,214,2013,20.0,3
0,6,2011,36.0,3
2,55,2011,49.0,3
3,4,2007,20.0,3
0,1,2013,40.0,3
0,13,2011,45.0,3
0,5,2010,40.0,3
0,2,2013,32.0,3
2,55,2013,15.0,3
2,55,2011,40.0,3
0,29,2013,42.0,3
0,4,2013,98.0,3
3,21,2013,25.0,3
3,21,2013,36.0,3
0,6,2013,35.0,3
0,6,2014,56.0,3
3,61,2015,33.0,3
0,1,2014,38.0,3
0,12,2015,22.0,3
0,9,2016,18.0,3
0,47,2014,42.0,3
1,9,2016,21.0,3
1,9,2016,30.0,3
0,15,2014,38.0,3
2,82,2016,18.0,3
0,3,2010,35.0,2
1,5,2009,75.0,2
3,32,2008,47.0,2
3,22,2011,10.0,2
1,9,2007,15.0,2
1,9,2007,15.0,2
0,4,2006,18.0,2
1,219,2003,24.0,2
0,1,2014,48.0,3
4,8,2013,19.0,3
0,223,2013,40.0,3
0,19,2012,50.0,3
0,19,2012,25.0,3
2,36,2014,23.0,3
2,51,2014,30.0,3
0,14,2014,22.0,3
0,2,2014,15.0,3
1,23,2011,31.0,4
1,18,2007,30.0,4
0,4,2010,45.0,4
0,5,2009,50.0,4
1,18,2010,28.0,4
1,18,2010,45.0,4
0,3,2010,50.0,4
0,25,2012,30.0,4
1,3,2010,25.0,4
0,222,2010,32.0,4
0,4,2010,40.0,4
0,17,2010,39.0,4
0,15,2013,75.0,4
0,4,2013,120.0,4
1,3,2011,25.0,4
1,2,2014,80.0,4
0,14,2014,28.0,4
1,15,2013,180.0,4
1,1,2014,85.0,4
1,1,2014,135.0,4
2,16,2012,125.0,4
1,1,2014,90.0,4
2,3,2009,154.0,4
0,15,2013,70.0,4
0,4,2013,150.0,4
1,8,2014,49.0,4
0,4,2014,72.0,4
2,118,2013,48.0,4
0,12,2015,35.0,4
1,1,2014,132.0,4
0,4,2013,175.0,4
0,1,2015,36.0,4
0,4,2014,110.0,4
0,1,2015,100.0,4
2,16,2011,85.0,4
0,4,2013,80.0,4
5,125,2005,12.0,2
4,4,2006,10.0,2
1,12,2006,19.0,2
4,2,2007,12.0,2
4,2,2007,10.0,2
0,1,2010,60.0,4
1,56,2010,15.0,4
1,8,2009,35.0,4
1,20,2011,35.0,4
0,1,2010,54.0,4
1,8,2010,26.0,4
1,83,2008,50.0,4
0,1,2010,48.0,4
0,4,2009,100.0,4
2,9,2015,21.0,2
3,2,2015,15.0,2
3,3,2014,9.0,2
3,10,2014,17.0,2
1,30,2013,34.0,2
2,77,2016,14.0,2
3,177,2015,20.0,2
2,77,2016,20.0,2
2,77,2016,18.0,2
0,5,2008,50.0,5
0,6,2008,60.0,4
0,6,2013,34.0,3
0,2,2013,35.0,3
2,41,2014,16.0,3
1,5,2012,45.0,3
1,12,2014,30.0,3
0,3,2012,18.0,3
0,1,2014,10.0,3
0,2,2013,55.0,3
0,7,2014,16.0,3
2,77,2010,25.0,3
0,7,2014,20.0,2
2,41,2012,14.0,2
0,35,2014,24.0,2
1,14,2015,10.0,2
1,2,2016,10.0,2
4,37,2017,10.0,2
4,9,2016,13.0,2
4,37,2015,13.0,2
1,1,2016,12.0,2
0,14,2015,16.0,2
4,8,2015,12.0,2
1,12,2015,22.0,2
1,17,2016,12.0,2
4,9,2017,10.0,2
0,2,2015,11.0,2
3,3,2014,27.0,2
4,25,2015,13.0,2
4,8,2014,10.0,2
5,84,2015,16.0,2
4,17,2015,20.0,2
0,18,2014,18.0,2
0,176,2011,25.0,2
4,14,2015,12.0,2
2,64,2014,19.0,2
0,17,2012,25.0,2
0,6,2007,65.0,3
1,28,2009,63.0,3
4,8,2009,15.0,3
3,51,2006,12.0,2
5,2,2006,14.0,2
3,93,2006,15.0,2
3,14,2006,8.0,2
3,14,2006,10.0,2
5,24,2005,30.0,2
0,1,2005,22.0,2
3,10,2006,47.0,4
0,1,2012,48.0,4
0,2,2013,30.0,4
0,2,2012,35.0,4
0,15,2013,20.0,4
0,6,2012,40.0,4
2,16,2010,50.0,4
0,2,2013,22.0,4
2,16,2008,80.0,4
2,3,2012,75.0,4
0,1,2010,56.0,4
0,13,2012,45.0,4
2,16,2010,45.0,4
0,2,2012,30.0,4
1,5,2013,13.0,2
3,21,2014,12.0,2
0,7,2014,10.0,2
3,22,2011,25.0,2
0,15,2013,29.0,2
1,12,2014,15.0,2
1,5,2013,12.0,2
0,7,2014,25.0,2
0,9,2014,18.0,2
1,9,2014,13.0,2
0,59,2010,22.0,2
1,17,2013,23.0,2
0,15,2011,33.0,3
3,3,2009,33.0,3
2,11,2004,50.0,3
1,5,2010,29.0,3
3,119,2013,15.0,2
3,3,2014,11.0,2
0,1,2013,14.0,2
3,14,2014,9.0,2
4,8,2013,12.0,2
3,21,2014,15.0,2
1,20,2014,15.0,2
4,73,2015,12.0,2
1,20,2014,22.0,2
1,20,2014,12.0,2
3,3,2013,23.0,2
3,3,2012,16.0,2
0,1,2014,15.0,2
0,3,2013,10.0,2
3,232,2013,13.0,2
3,22,2010,25.0,2
0,7,2011,19.0,2
0,4,2011,42.0,2
0,3,2012,13.0,2
3,42,2012,30.0,1
3,32,2012,9.0,1
0,13,2012,38.0,1
0,2,2013,25.0,1
3,32,2012,15.0,1
0,4,2011,55.0,1
0,47,2012,29.0,1
2,3,2012,30.0,1
0,168,2009,36.0,4
0,3,2008,85.0,4
0,15,2009,36.0,4
1,15,2008,75.0,4
0,3,2007,50.0,4
5,24,2008,50.0,4
0,3,2009,22.0,4
1,2,2005,23.0,3
5,4,2003,20.0,3
5,4,2006,25.0,3
5,4,2005,18.0,3
0,2,2005,30.0,3
3,5,2003,150.0,3
4,89,2006,10.0,3
1,2,2005,28.0,3
4,8,2005,12.0,3
3,3,2004,53.0,3
0,7,2011,14.0,2
0,10,2011,26.0,2
2,11,2009,50.0,2
2,31,2011,25.0,2
5,2,2011,30.0,2
2,11,2008,80.0,2
5,24,2009,53.0,2
0,2,2011,15.0,2
1,63,2011,13.0,2
0,3,2010,24.0,2
0,5,2010,32.0,2
1,20,2011,17.0,3
1,20,2011,15.0,3
0,1,2009,40.0,3
1,34,2011,18.0,3
0,1,2010,50.0,3
1,8,2010,16.0,3
1,20,2011,14.0,3
3,6,2013,4.0,2
1,7,2012,25.0,2
4,4,2012,11.0,2
0,2,2012,18.0,2
0,1,2013,25.0,2
1,18,2013,15.0,2
1,23,2013,19.0,2
2,164,2013,12.0,2
3,6,2012,10.0,2
4,4,2012,10.0,2
1,38,2013,8.0,2
0,3,2012,15.0,2
1,23,2013,24.0,2
4,68,2013,12.0,2
3,42,2013,17.0,2
1,18,2013,16.0,2
1,18,2013,17.0,2
0,2,2011,45.0,2
2,49,2012,15.0,2
2,3,2008,39.0,2
2,14,2013,15.0,2
2,71,2012,17.0,2
1,27,2002,70.0,4
0,3,2007,28.0,3
0,6,2006,40.0,3
1,27,2005,85.0,3
4,8,2007,39.0,3
0,3,2007,19.0,3
0,3,2006,17.0,2
1,14,2006,36.0,2
0,7,2010,20.0,3
0,3,2009,25.0,3
0,19,2010,20.0,3
1,5,2008,42.0,3
0,17,2009,45.0,3
1,12,2010,22.0,3
5,2,2014,21.0,2
3,10,2015,12.0,2
4,4,2014,10.0,2
1,5,2012,22.0,2
1,20,2015,22.0,2
0,31,2011,28.0,2
3,9,2015,8.0,2
2,64,2015,10.0,2
2,64,2015,11.0,2
3,10,2015,11.0,2
0,17,2015,11.0,2
3,3,2015,9.0,2
3,121,2013,18.0,2
4,25,2015,11.0,2
0,25,2015,21.0,2
1,20,2014,14.0,2
3,35,2015,16.0,2
0,1,2012,85.0,2
0,7,2016,22.0,3
0,7,2016,17.0,3
0,9,2016,24.0,3
2,11,2013,107.0,3
0,12,2016,35.0,3
2,11,2013,58.0,3
0,65,2015,32.0,3
3,9,2016,31.0,3
0,1,2014,60.0,3
3,22,2011,30.0,3
0,5,2014,25.0,3
0,9,2016,15.0,3
0,4,2015,30.0,3
0,2,2015,20.0,3
0,6,2014,35.0,3
0,4,2014,34.0,3
0,9,2016,24.0,3
0,12,2014,24.0,3
0,118,2012,25.0,3
0,43,2012,30.0,3
1,7,2014,18.0,3
0,1,2012,85.0,3
0,3,2013,10.0,3
0,15,2013,48.0,3
1,18,2014,19.0,3
0,13,2012,40.0,3
2,52,2011,53.0,3
0,2,2012,30.0,3
1,7,2014,21.0,3
0,17,2013,12.0,3
1,1,2009,85.0,4
1,2,2009,225.0,4
4,4,2007,19.0,2
4,8,2009,29.0,2
1,1,2010,17.0,2
3,40,2008,25.0,2
0,12,2011,20.0,2
4,8,2011,17.0,2
0,3,2007,40.0,3
0,2,2006,18.0,3
3,22,2004,54.0,3
1,9,2014,13.0,2
0,14,2013,12.0,2
0,2,2013,12.0,2
0,7,2013,16.0,2
1,30,2014,14.0,2
3,48,2013,15.0,2
0,252,2013,18.0,2
0,18,2014,15.0,2
0,17,2013,15.0,2
0,13,2011,17.0,3
4,8,2010,19.0,3
3,3,2009,16.0,3
0,13,2012,15.0,3
1,2,2011,35.0,3
1,1,2011,35.0,3
1,1,2011,40.0,3
2,3,2008,42.0,3
1,3,2010,20.0,3
0,8,2010,28.0,3
0,4,2010,35.0,3
1,20,2012,20.0,3
0,7,2012,11.0,3
1,7,2011,17.0,3
2,3,2010,20.0,3
2,14,2011,30.0,3
0,5,2010,40.0,3
0,2,2012,13.0,3
0,13,2013,30.0,2
4,8,2016,16.0,2
1,12,2016,25.0,2
1,33,2016,12.0,2
0,1,2013,27.0,2
0,28,2013,28.0,2
2,41,2016,14.0,2
0,2,2014,30.0,2
1,2,2016,12.0,2
1,2,2016,10.0,2
1,20,2011,12.0,2
0,38,2011,28.0,2
1,20,2011,15.0,2
0,1,2010,50.0,2
0,18,2011,14.0,2
1,20,2012,11.0,2
1,8,2011,12.0,2
0,1,2012,55.0,3
0,12,2013,14.0,3
0,4,2012,60.0,3
0,1,2012,65.0,3
2,124,2010,30.0,3
0,13,2012,15.0,3
2,337,2012,20.0,3
0,7,2013,13.0,3
2,16,2010,80.0,3
0,4,2012,45.0,3
0,47,2012,40.0,3
0,5,2010,50.0,3
0,6,2012,25.0,3
0,17,2011,30.0,3
0,2,2013,38.0,3
0,59,2011,33.0,3
0,14,2012,22.0,3
0,69,2011,45.0,3
1,5,2012,50.0,3
2,16,2009,75.0,3
3,22,2004,45.0,3
0,5,2011,18.0,3
0,13,2011,38.0,3
0,4,2011,39.0,3
0,47,2013,32.0,3
0,2,2013,38.0,3
0,3,2010,42.0,3
0,3,2013,18.0,3
0,7,2014,9.0,3
0,3,2013,12.0,3
0,19,2012,35.0,3
0,2,2014,15.0,3
1,7,2013,18.0,3
1,23,2014,19.0,3
0,3,2012,35.0,3
2,52,2013,16.0,3
2,14,2010,43.0,3
0,7,2014,18.0,3
1,18,2013,19.0,3
0,6,2013,40.0,3
0,15,2012,44.0,3
0,2,2012,75.0,4
2,11,2010,65.0,4
2,11,2010,60.0,4
2,11,2010,96.0,4
2,11,2009,59.0,4
0,7,2013,32.0,4
2,11,2010,60.0,4
0,2,2011,43.0,4
2,11,2010,42.0,4
5,104,2010,225.0,4
2,11,2010,48.0,4
2,11,2010,70.0,4
2,11,2010,80.0,4
2,11,2010,80.0,4
2,11,2010,75.0,4
2,76,2013,18.0,3
0,3,2012,70.0,3
3,10,2012,20.0,3
3,166,2012,25.0,3
2,76,2013,20.0,3
1,3,2014,25.0,3
0,3,2012,22.0,3
2,3,2012,28.0,3
1,6,2012,20.0,3
1,9,2015,19.0,3
0,7,2014,16.0,3
3,10,2010,30.0,3
0,29,2012,35.0,3
4,8,2013,20.0,3
0,2,2014,17.0,3
0,28,2014,24.0,3
0,1,2013,55.0,3
0,1,2013,45.0,3
0,17,2010,24.0,3
0,9,2014,25.0,3
0,4,2010,65.0,3
0,28,2013,28.0,3
0,3,2008,25.0,3
0,66,2014,20.0,3
0,5,2012,55.0,3
0,8,2011,30.0,3
0,3,2012,29.0,3
2,14,2013,45.0,3
0,15,2013,30.0,3
2,45,2011,20.0,3
0,17,2011,32.0,3
0,5,2012,35.0,3
0,8,2012,33.0,3
0,6,2013,45.0,3
0,6,2014,45.0,3
0,338,2014,35.0,3
1,5,2011,20.0,3
5,7,2012,35.0,3
0,8,2010,35.0,3
2,11,2009,92.0,3
2,11,2009,82.0,3
5,24,2010,20.0,3
5,24,2010,20.0,3
5,4,2009,30.0,3
0,6,2009,28.0,3
5,4,2009,21.0,3
0,115,2010,34.0,3
4,2,2006,12.0,1
6,283,2004,12.0,1
0,7,2005,13.0,1
5,24,2008,20.0,3
5,2,2009,13.0,3
0,6,2008,44.0,3
0,1,2010,18.0,3
0,17,2009,50.0,3
0,6,2009,24.0,3
0,5,2010,55.0,3
0,2,2011,30.0,3
2,3,2009,26.0,3
1,15,2011,24.0,3
4,19,2010,35.0,3
0,4,2010,45.0,3
0,105,2012,20.0,3
0,1,2011,34.0,3
3,10,2004,50.0,3
2,3,2007,125.0,3
0,4,2010,30.0,3
2,2,1999,10.0,2
2,52,2002,11.0,2
2,36,2001,15.0,2
1,38,2014,13.0,2
1,9,2015,10.0,2
2,51,2015,11.0,2
2,45,2013,30.0,2
0,13,2009,29.0,2
2,74,2012,28.0,2
0,2,2014,12.0,2
0,19,2013,70.0,2
3,32,2014,14.0,2
1,9,2015,20.0,2
2,86,2014,30.0,2
1,9,2015,15.0,2
3,22,2014,13.0,2
0,2,2015,13.0,2
0,1,2013,50.0,2
0,4,2013,29.0,2
